LR994329 Fungi
KJ869125 Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellales_fam_Incertae_sedis_Ramopenidiella|Ramopenidiella|Ramopenidiella_cycadicola
ON693014 Fungi|Ascomycota|Lecanoromycetes|Acarosporales|Acarosporaceae|Caeruleum|Caeruleum_heppii
KY101750 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Trichomonascaceae|Blastobotrys|Blastobotrys_chiropterorum
JX119107 Fungi|Ascomycota|Eurotiomycetes|Mycocaliciales|Mycocaliciaceae|Chaenothecopsis|Chaenothecopsis_vainioana
KC005771 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Chaetothyriaceae|Ceramothyrium|Ceramothyrium_melastoma
MN794374 Fungi|Ascomycota|Dothideomycetes|Venturiales|Sympoventuriaceae|Melnikomyces|Melnikomyces_thailandicus
KJ869156 Fungi|Ascomycota|Dothideomycetes|Venturiales|Sympoventuriaceae|Melnikomyces|Melnikomyces_vietnamensis
KJ524687 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Ophiocordycipitaceae|Hirsutella|Hirsutella_jonesii
KT724170 Fungi|Basidiomycota|Agaricomycetes|Boletales|Diplocystidiaceae|Tremellogaster|Tremellogaster_surinamensis
OR527520 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae|Aschersonia|Aschersonia_cheesemaniae
EF190271 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae|Moelleriella|Moelleriella_tubulata
DQ365842 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae|Aschersonia|Aschersonia_confluens
MZ357712 Fungi|Ascomycota|Sordariomycetes|Lulworthiales|Lulworthiaceae|Paralulworthia|Paralulworthia_elbensis
MW587280 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Teichosporaceae|Floricola|Floricola_festucae
JN649373 Fungi|Basidiomycota|Agaricomycetes|Stereopsidales|Stereopsidaceae|Stereopsis|Stereopsis_radicans
UDB07584277 Fungi|Basidiomycota|Agaricomycetes|Stereopsidales|Stereopsidaceae|Stereopsis
UDB017827 Fungi|Basidiomycota|Agaricomycetes|Stereopsidales|Stereopsidaceae|Clavulicium|Clavulicium_globosum
KC315848 Fungi|Ascomycota|Dothideomycetes|Dothideomycetes_ord_Incertae_sedis_Cryomyces|Dothideomycetes_fam_Incertae_sedis_Cryomyces|Cryomyces|Cryomyces_funiculosus
KC315849 Fungi|Ascomycota|Dothideomycetes|Dothideomycetes_ord_Incertae_sedis_Cryomyces|Dothideomycetes_fam_Incertae_sedis_Cryomyces|Cryomyces|Cryomyces_montanus
DQ028270 Fungi|Ascomycota|Dothideomycetes|Dothideomycetes_ord_Incertae_sedis_Cryomyces|Dothideomycetes_fam_Incertae_sedis_Cryomyces|Cryomyces|Cryomyces_minteri
KJ425524 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Phellinopsis|Phellinopsis_asetosa
KR081334 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Phellinopsis|Phellinopsis_tibetica
KX940918 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Lindgomycetaceae|Hongkongmyces|Hongkongmyces_pedis
MH174289 Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Ramalinaceae|Krogia|Krogia_macrophylla
LK392611 Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactifluus|Lactifluus_luteopus
KC681895 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Trigonopsidaceae|Tortispora|Tortispora_agaves
MF908504 Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Peltigeraceae|Peltigera|Peltigera_neopolydactyla
OQ150500 Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Rhodoscypha
FJ481032 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Rhizopodaceae|Syzygites|Syzygites_megalocarpus
MZ159704 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Phycomycetaceae|Spinellus|Spinellus_fusiger
UDB01475756 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Backusellaceae|Backusella
KU556105 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Backusellaceae|Backusella|Backusella_lamprospora
UDB03555618 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Mucoraceae|Hyphomucor
MG711905 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Mucoraceae|Hyphomucor|Hyphomucor_assamensis
JQ683231 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Mucoraceae|Mucor|Mucor_heterogamus
JN206158 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Mucoraceae|Mucor|Mucor_japonicus
AF254939 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Cunninghamellaceae|Cunninghamella|Cunninghamella_intermedia
UDB02290580 Fungi|Basidiomycota|Agaricomycetes|Gomphales|Lentariaceae|Kavinia
OR607670 Fungi|Basidiomycota|Agaricomycetes|Gomphales|Gomphaceae|Ramaricium
ON123747 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Cunninghamellaceae|Absidia|Absidia_heterospora
JN942684 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Cunninghamellaceae|Absidia|Absidia_psychrophilia
KU747805 Fungi|Ascomycota|Sordariomycetes|Chaetosphaeriales|Chaetosphaeriales_fam_Incertae_sedis_Lasiosphaeriella|Lasiosphaeriella
KR476743 Fungi|Ascomycota|Sordariomycetes|Sordariomycetes_ord_Incertae_sedis_Neoeriomycopsis|Sordariomycetes_fam_Incertae_sedis_Neoeriomycopsis|Neoeriomycopsis|Neoeriomycopsis_aristata
KM484835 Fungi|Ascomycota|Sordariomycetes|Magnaporthales|Magnaporthaceae|Gaeumannomyces|Gaeumannomyces_ellisiorum
UDB03177077 Fungi|Ascomycota|Sordariomycetes|Magnaporthales|Magnaporthaceae|Magnaporthiopsis
UDB035165 Fungi|Ascomycota|Sordariomycetes|Magnaporthales|Magnaporthaceae|Omnidemptus|Omnidemptus_lunatus
KC683448 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora_truncatispora
KC683428 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora_myrciae
KF443218 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Cyphellostereum|Cyphellostereum_imperfectum
MH861359 Fungi|Ascomycota|Sordariomycetes|Chaetosphaeriales|Chaetosphaeriaceae|Chaetosphaeria|Chaetosphaeria_endophytica
MZ479336 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrocybe|Hygrocybe_ingrata
KC008889 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae|Chrysosporium|Chrysosporium_vallenarense
GU244499 Fungi|Mucoromycota|Mucoromycetes|Mucorales|Cunninghamellaceae|Gongronella|Gongronella_butleri
HE614898 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lepiota|Lepiota_himalayensis
OR083765 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lepiota|Lepiota_brunneoincarnata
MW374470 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Leucoagaricus|Leucoagaricus_cinereoradicatus
MH862502 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Chaetothyriaceae|Ceramothyrium|Ceramothyrium_linnaeae
MF285231 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Chaetothyriaceae|Camptophora|Camptophora_schimae
MK047447 Fungi|Ascomycota|Ascomycota_cls_Incertae_sedis_Fumagopsis|Ascomycota_ord_Incertae_sedis_Fumagopsis|Ascomycota_fam_Incertae_sedis_Fumagopsis|Fumagopsis|Fumagopsis_stellae
UDB07340497 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricales_fam_Incertae_sedis_Verrucospora|Verrucospora
KM214811 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lepiota|Lepiota_mandarina
MN810118 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lepiota|Lepiota_castanea
MN483032 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Leucoagaricus|Leucoagaricus_caeruleovertens
GQ329059 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Leucoagaricus|Leucoagaricus_griseodiscus
KX513826 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Tulostoma|Tulostoma_submembranaceum
KF545855 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrocybe|Hygrocybe_conica
ON045829 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrocybe|Hygrocybe_griseonigricans
KJ417326 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Dennisiomyces|Dennisiomyces_glabrescentipes
KJ417269 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Dennisiomyces
KT020864 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrocybe|Hygrocybe_martinicensis
MG827042 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Niessliaceae|Niesslia|Niesslia_cladoniicola
MT705717 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Lyophyllaceae|Tricholyophyllum|Tricholyophyllum_brunneum
KP012919 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Clavariaceae|Ramariopsis|Ramariopsis_pulchella
AM882743 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Inocybaceae|Inocybe|Inocybe_giacomi
MK018586 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Psathyrellaceae|Cystoagaricus
OR760525 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Bionectriaceae|Acremonium|Acremonium_stroudii
OM436905 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Bionectriaceae|Acremonium|Acremonium_charticola
MN636771 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Bionectriaceae|Acremonium|Acremonium_sclerotigenum
MW175360 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Bionectriaceae|Acremonium|Acremonium_behniae
OQ429475 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Bionectriaceae|Acremonium|Acremonium_longiphialidicum
MN275025 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricales_fam_Incertae_sedis_Asproinocybe|Asproinocybe|Asproinocybe_daleyae
HQ179669 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricales_fam_Incertae_sedis_Cercopemyces|Cercopemyces|Cercopemyces_ponderosus
JX409899 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricales_fam_Incertae_sedis_Cercopemyces|Cercopemyces|Cercopemyces_crocodilinus
UDB06664234 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Rickenellaceae
MT232350 Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Rickenellaceae|Cotylidia|Cotylidia_undulata
UDB01943963 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Chlorophyllum
OP802644 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Chlorophyllum|Chlorophyllum_rachodes
JF495079 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Chlorophyllum|Chlorophyllum_agaricoides
MN577079 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Chlorophyllum|Chlorophyllum_palaeotropicum
UDB011945 Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Leccinum|Leccinum_rugosiceps
OR019864 Fungi|Basidiomycota|Agaricomycetes|Boletales|Sclerodermataceae|Pisolithus|Pisolithus_microcarpus
MK659921 Fungi|Basidiomycota|Agaricomycetes|Boletales|Sclerodermataceae|Pisolithus|Pisolithus_albus
KC771256 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Pichiaceae|Komagataella|Komagataella_kurtzmanii
MF276793 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Pichiaceae|Komagataella
AJ271564 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae|Amauroascus|Amauroascus_purpureus
MH231761 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Nannizziopsidaceae|Nannizziopsis|Nannizziopsis_mirabilis
KF010854 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Omphalotaceae|Mycetinis|Mycetinis_scorodonius
MZ823497 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Omphalotaceae|Mycetinis|Mycetinis_salalis
KJ472292 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_himalayensis
KJ472302 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_tetrasporus
JX977156 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_microcaudatus
MZ820692 Fungi|Ascomycota|Leotiomycetes|Helotiales|Gelatinodiscaceae|Ombrophila|Ombrophila_janthina
MH886407 Fungi|Ascomycota|Leotiomycetes|Helotiales|Lachnaceae|Velebitea|Velebitea_chrysotexta
KX501125 Fungi|Ascomycota|Leotiomycetes|Helotiales|Lachnaceae|Brunnipila|Brunnipila_dumorum
KF545341 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Tatraea|Tatraea_macrospora
AY348592 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_serotinus
UDB02418068 Fungi|Ascomycota|Leotiomycetes|Helotiales|Gelatinodiscaceae|Ombrophila
DQ431177 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_crataegi
JN225947 Fungi|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae|Torrendiella|Torrendiella_cannibalensis
KM114538 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_trichosporus
KM114536 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_seminis-alni
OL653073 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiales_fam_Incertae_sedis_Crocicreas|Crocicreas|Crocicreas_macrostipitatum
KM199777 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_lepismoides
JN033402 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_caudatus
UDB0778201 Fungi|Ascomycota|Leotiomycetes|Helotiales|Lachnaceae|Perrotia|Perrotia_sphaerula
KF727424 Fungi|Ascomycota|Leotiomycetes|Helotiales|Hyaloscyphaceae|Endoscypha|Endoscypha_perforans
MG182858 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Hymenoscyphus|Hymenoscyphus_fraxineus
JQ256415 Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Cudoniella|Cudoniella_clavus
JN225943 Fungi|Ascomycota|Leotiomycetes|Helotiales|Sclerotiniaceae|Torrendiella
MN294755 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Didymosphaeriaceae|Deniquelata|Deniquelata_barringtoniae
LT796867 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Didymosphaeriaceae|Phaeodothis
MK079886 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Didymosphaeriaceae|Neokalmusia|Neokalmusia_kunmingensis
FJ481946 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Hendersonia|Hendersonia_osteospermi
OP599619 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Didymosphaeriaceae|Cylindroaseptospora|Cylindroaseptospora_bennettiae
UDB05182584 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Didymosphaeriaceae|Didymocrea
OR464478 Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellales_fam_Incertae_sedis_Burgellopsis|Burgellopsis|Burgellopsis_nivea
MK517584 Fungi|Basidiomycota|Wallemiomycetes|Wallemiales|Wallemiaceae|Wallemia|Wallemia_mellicola
OQ411128 Fungi|Ascomycota|Sordariomycetes|Xylariales|Graphostromataceae|Biscogniauxia|Biscogniauxia_anceps
MH397658 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Coniothyriaceae|Ochrocladosporium|Ochrocladosporium_elatum
LT592910 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|Neocucurbitaria|Neocucurbitaria_unguis-hominis
KU314995 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Coniothyriaceae|Ochrocladosporium|Ochrocladosporium_frigidarii
ON911613 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Cucurbitariaceae|Neocucurbitaria
UDB02058175 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Neopyrenochaetaceae|Neopyrenochaeta
OK159908 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrocybe|Hygrocybe_xanthopoda
UDB05800493 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Pyrenochaetopsidaceae
OP076874 Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Cercospora|Cercospora_canescens
MN010329 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae|Trichophyton|Trichophyton_mentagrophytes
OQ549987 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae|Trichophyton|Trichophyton_rubrum
MK112617 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae|Trichophyton|Trichophyton_eriotrephon
UDB06256897 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Radulomycetaceae
UDB0963756 Fungi|Ascomycota|Dothideomycetes|Jahnulales|Aliquandostipitaceae
EU520602 Fungi|Ascomycota|Dothideomycetes|Jahnulales|Aliquandostipitaceae|Jahnula
FJ904676 Fungi|Ascomycota|Lecanoromycetes|Ostropales|Stictidaceae|Cryptodiscus|Cryptodiscus_microstomus
MF615014 Fungi|Ascomycota|Taphrinomycetes|Taphrinales|Protomycetaceae|Protomyces
MK937055 Fungi|Ascomycota|Taphrinomycetes|Taphrinales|Protomycetaceae|Protomyces|Protomyces_gravidus
KF251278 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae|Vrystaatia|Vrystaatia_aloeicola
KT950853 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae|Neosulcatispora|Neosulcatispora_agaves
HE584897 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Melanommataceae|Herpotrichia|Herpotrichia_pinetorum
MN172423 Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Megasporaceae|Lobothallia|Lobothallia_cheresina
MN586980 Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Megasporaceae|Lobothallia|Lobothallia_recedens
MK347505 Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Megasporaceae|Lobothallia|Lobothallia_epiadelpha
MZ922071 Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Megasporaceae|Aspicilia|Aspicilia_peltastictoides
KF468210 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Trichomonascaceae|Sugiyamaella|Sugiyamaella_novakii
MZ325957 Fungi|Basidiomycota|Agaricomycetes|Russulales|Stereaceae|Gloeocystidiellum|Gloeocystidiellum_inconstans
KC107920 Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Roccellaceae|Dirina|Dirina_indica
KC108004 Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Roccellaceae|Dirina|Dirina_pacifica
KC107949 Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Roccellaceae|Dirina|Dirina_jamesii
AF159930 Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|Lecanora_campestris
UDB05027121 Fungi|Ascomycota|Pezizomycotina_cls_Incertae_sedis_Cytosporella|Pezizomycotina_ord_Incertae_sedis_Cytosporella|Pezizomycotina_fam_Incertae_sedis_Cytosporella|Cytosporella
MN562153 Fungi|Ascomycota|Pezizomycotina_cls_Incertae_sedis_Cytosporella|Pezizomycotina_ord_Incertae_sedis_Cytosporella|Pezizomycotina_fam_Incertae_sedis_Cytosporella|Cytosporella|Cytosporella_juncicola
KF724974 Fungi|Ascomycota|Sordariomycetes|Amphisphaeriales|Vialaeaceae|Vialaea|Vialaea_mangiferae
KX774093 Fungi|Ascomycota|Sordariomycetes|Amphisphaeriales|Vialaeaceae|Vialaea
MF461574 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_flavidogrisea
MH153567 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Dipodascaceae|Dipodascus|Dipodascus_aggregatus
MT863761 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_pekeoides
MN258623 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_fritillaria
MK312316 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Sporormiaceae|Westerdykella
JQ801469 Fungi|Ascomycota|Dothideomycetes|Pleosporales|Sporormiaceae|Westerdykella|Westerdykella_multispora
LC129872 Fungi|Glomeromycota|Glomeromycetes|Diversisporales|Acaulosporaceae|Acaulospora|Acaulospora_mellea
EU552114 Fungi|Ascomycota|Pezizomycetes|Pezizales|Sarcosomataceae|Conoplea|Conoplea_fusca
KP137081 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_sabulosa
UDB036513 Fungi|Basidiomycota|Agaricomycetes|Gomphales|Gomphaceae|Ramaria|Ramaria_ignicolor
KF023072 Fungi|Basidiomycota|Agaricomycetes|Geastrales|Geastraceae|Schenella|Schenella_pityophila
OL830701 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora_dominicana
KX451935 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Telimenaceae|Telimena|Telimena_ulei
KX451905 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Telimenaceae|Telimena
MT828908 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Telimenaceae|Telimena|Telimena_trichiliae
UDB04577275 Fungi|Ascomycota|Sordariomycetes|Phyllachorales
UDB05431131 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Telimenaceae
OM194107 Fungi|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae|Brachychaeta|Brachychaeta_variospora
MT828906 Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Telimenaceae|Telimena|Telimena_acalyphae
UDB01477218 Fungi|Ascomycota|Lecanoromycetes|Baeomycetales
AB712458 Fungi|Basidiomycota|Dacrymycetes|Dacrymycetales|Dacrymycetaceae|Dacrymyces|Dacrymyces_minor
AB712464 Fungi|Basidiomycota|Dacrymycetes|Dacrymycetales|Dacrymycetaceae|Dacrymyces|Dacrymyces_stillatus
UDB03350720 Fungi|Ascomycota|Sordariomycetes|Amphisphaeriales|Beltraniaceae|Hemibeltrania
KY948710 Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Dentocorticium|Dentocorticium_bicolor
OQ137210 Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Debaryomyces|Debaryomyces_delbrueckii
UDB01116720 Fungi|Ascomycota|Orbiliomycetes|Orbiliales|Orbiliaceae|Amphosoma
UDB01117964 Fungi|Entomophthoromycota|Entomophthoromycetes|Entomophthorales|Ancylistaceae
UDB01122035 Fungi|Chytridiomycota|Rhizophydiomycetes|Rhizophydiales|Angulomycetaceae|Angulomyces
MF374360 Fungi|Ascomycota|Sordariomycetes|Atractosporales|Pseudoproboscisporaceae|Pseudoproboscispora|Pseudoproboscispora_thailandensis
AF177153 Fungi|Ascomycota|Sordariomycetes|Annulatascales|Annulatascaceae|Cataractispora|Cataractispora_receptaculorum
UDB07340614 Fungi|Ascomycota|Sordariomycetes|Annulatascales|Annulatascaceae|Vertexicola
AF177151 Fungi|Ascomycota|Sordariomycetes|Annulatascales|Annulatascaceae|Vertexicola|Vertexicola_confusa
JX141451 Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Truncospora|Truncospora_mollissima
MW617045 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae|Chrysosporium|Chrysosporium_crassitunicatum
AB861804 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Arthrodermataceae|Arthroderma|Arthroderma_multifidum
KU605807 Fungi|Ascomycota|Eurotiomycetes|Onygenales|Onygenaceae|Chrysosporium|Chrysosporium_zonatum
JQ838033 Fungi|Ascomycota|Sordariomycetes|Microascales|Halosphaeriaceae|Lignincola|Lignincola_laevis
UDB05056347 Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Pannariaceae|Degelia
OP676067 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Trichomeriaceae|Strelitziana
KR476731 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Trichomeriaceae|Strelitziana|Strelitziana_malaysiana
JN695529 Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Trichomeriaceae|Strelitziana|Strelitziana_africana
OQ211597 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Kuehneromyces
MK439507 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Psilocybe|Psilocybe_pelliculosa
GU591634 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Hebeloma|Hebeloma_subvictoriense
OQ832781 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Hebeloma|Hebeloma_duracinoides
OQ065018 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Flammula
AJ585432 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Galerina|Galerina_pseudocerina
GU234078 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Hypholoma|Hypholoma_myosotis
KT833861 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Hebeloma|Hebeloma_alpinum
GU234067 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Hypholoma|Hypholoma_elongatipes
MN206885 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Gymnopilus|Gymnopilus_voitkii
MT117088 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Hebeloma|Hebeloma_luchuense
AJ585462 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Galerina|Galerina_cephalotricha
GU479365 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hymenogastraceae|Hymenogaster|Hymenogaster_rehsteineri
ON869296 Fungi|Ascomycota|Sordariomycetes|Xylariales|Xylariaceae|Albicollum|Albicollum_novomexicanum
MW031861 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_bisporigera
AY436477 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_subjunquillea_var._alba
MW554064 Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita_subjunquillea
UDB02248756 Fungi|Ascomycota|Sordariomycetes|Calosphaeriales|Calosphaeriaceae|Jattaea
EU552127 Fungi|Ascomycota|Sordariomycetes|Calosphaeriales|Calosphaeriaceae|Jattaea|Jattaea_leucospermi
